City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,ebute ikorodu,6.6009,3.4882,27.18,78,40,4.63,NG,1689251371
83,machico,32.7,-16.7667,28.73,70,20,9.26,PT,1689251371
84,antofagasta,-23.65,-70.4,14.6,49,1,1.5,CL,1689251354
85,aykhal,66.0,111.5,9.88,54,98,5.74,RU,1689251311
86,amudalavalasa,18.4167,83.9,30.15,71,97,5.31,IN,1689251373
87,thompson,55.7435,-97.8558,11.09,93,75,2.57,CA,1689251282
88,sarzeau,47.5333,-2.7667,22.88,75,54,6.07,FR,1689251374
89,vadso,70.0744,29.7487,24.49,48,0,7.72,NO,1689251374
90,hermanus,-34.4187,19.2345,17.67,53,0,3.52,ZA,1689251281
91,college,64.8569,-147.8028,13.28,87,40,1.54,US,1689251376
92,yuci,37.6803,112.7319,25.86,41,0,3.0,CN,1689251376
93,puerto natales,-51.7236,-72.4875,-3.75,86,75,1.03,CL,1689251287
94,fada,9.5667,8.3,25.32,77,92,2.0,NG,1689251377
95,si chiang mai,17.9564,102.5867,32.75,66,20,0.0,TH,1689251378
96,severo-yeniseyskiy,60.3725,93.0408,13.53,66,99,2.81,RU,1689251378
97,bethel,41.3712,-73.414,26.2,83,0,0.45,US,1689251274
98,bamboo flat,11.7,92.7167,29.05,74,40,4.12,IN,1689251276
99,christchurch,-43.5333,172.6333,9.15,86,71,2.06,NZ,1689251380
100,nadi,-17.8,177.4167,23.0,78,75,3.6,FJ,1689251380
101,mont-dore,-22.2833,166.5833,21.67,99,70,4.59,NC,1689251381
102,gadzhiyevo,69.2551,33.3362,19.33,42,100,7.44,RU,1689251381
103,bredasdorp,-34.5322,20.0403,16.95,56,1,2.94,ZA,1689251382
104,saudarkrokur,65.7461,-19.6394,5.19,97,100,5.38,IS,1689251382
105,launceston,-41.45,147.1667,12.67,83,40,9.26,AU,1689251383
106,kone,-21.0595,164.8658,18.96,62,67,1.44,NC,1689251383
107,zarqa,32.0728,36.088,39.66,14,0,2.57,JO,1689251384
108,fisterra,42.9049,-9.2629,24.3,69,84,2.09,ES,1689251385
109,madang,-5.2246,145.7966,26.35,86,76,1.17,PG,1689251385
110,santo antonio,-6.3106,-35.4789,26.78,67,16,4.98,BR,1689251386
111,fortuna,40.5982,-124.1573,13.29,94,32,2.22,US,1689251386
112,ungheni,47.2042,27.7958,30.36,45,0,2.57,MD,1689251387
113,chonchi,-42.6128,-73.8092,6.18,95,100,2.27,CL,1689251387
114,guane,22.2025,-84.0875,27.35,80,20,2.96,CU,1689251388
115,puerto ayora,-0.7393,-90.3518,24.75,92,25,2.68,EC,1689251290
116,kodiak,57.79,-152.4072,9.73,93,0,2.06,US,1689251389
117,al kharijah,25.4514,30.5464,39.64,11,0,6.81,EG,1689251389
118,nizhniy kuranakh,58.8353,125.4869,11.94,97,84,0.83,RU,1689251390
119,bilibino,68.0546,166.4372,15.28,69,89,1.5,RU,1689251286
120,sanctuary point,-35.1114,150.629,14.55,51,29,4.85,AU,1689251391
121,ilulissat,69.2167,-51.1,10.01,66,40,2.57,GL,1689251391
122,gaiman,-43.2897,-65.4929,2.61,74,3,3.34,AR,1689251392
123,boa vista,2.8197,-60.6733,23.99,94,75,3.6,BR,1689251393
124,georgetown,5.4112,100.3354,29.97,72,20,2.68,MY,1689251334
125,nogliki,51.8333,143.1667,9.96,83,9,4.66,RU,1689251394
126,egilsstadir,65.2653,-14.3948,8.95,66,100,6.69,IS,1689251394
127,saint-philippe,-21.3585,55.7679,24.77,79,48,2.49,RE,1689251395
128,happy valley-goose bay,53.3168,-60.3315,21.17,73,75,3.09,CA,1689251395
129,parras de la fuente,25.4167,-102.1833,23.83,43,44,2.21,MX,1689251396
130,susuman,62.7833,148.1667,16.28,75,98,2.4,RU,1689251397
131,alindao,5.0267,21.2088,32.38,52,51,0.5,CF,1689251398
132,isafjordur,66.0755,-23.124,9.02,76,100,10.29,IS,1689251300
133,leeton,-34.5667,146.4,7.83,75,73,2.86,AU,1689251399
134,buala,-8.145,159.5921,25.88,88,100,2.49,SB,1689251400
135,wynyard,-41.0,145.7167,12.7,74,100,8.09,AU,1689251400
136,puerto baquerizo moreno,-0.9,-89.6,24.86,80,13,3.52,EC,1689251401
137,rouissat,31.9243,5.3502,41.57,10,0,4.87,DZ,1689251402
138,ust-nera,64.5667,143.2,21.08,64,36,2.17,RU,1689251312
139,yellowknife,62.456,-114.3525,18.29,63,75,4.12,CA,1689251270
140,mwene-ditu,-7.0,23.45,31.72,26,27,2.91,CD,1689251405
141,ulladulla,-35.35,150.4667,12.13,60,77,4.7,AU,1689251406
142,carnarvon,-24.8667,113.6333,19.17,73,0,8.06,AU,1689251408
143,oktyabr'skiy,54.4815,53.471,14.39,94,95,1.95,RU,1689251295
144,altai,46.3722,96.2583,16.29,50,3,4.98,MN,1689251409
145,enewetak,11.3474,162.3373,28.57,79,18,7.93,MH,1689251409
146,hawaiian paradise park,19.5933,-154.9731,22.24,93,100,2.06,US,1689251410
147,derzhavinsk,51.1,66.3167,30.37,36,19,7.81,KZ,1689251411
148,punta arenas,-53.15,-70.9167,-0.99,86,75,4.12,CL,1689251301
149,lethbridge,49.7,-112.8186,13.81,93,20,2.57,CA,1689251319
150,pasuquin,18.3328,120.6177,27.97,83,75,6.69,PH,1689251412
151,karratha,-20.7377,116.8463,22.88,62,6,1.06,AU,1689251413
152,yeppoon,-23.1333,150.7333,16.88,83,0,2.48,AU,1689251414
153,muang phonsavan,19.45,103.2167,19.74,96,29,1.33,LA,1689251415
154,floro,61.5996,5.0328,18.04,72,75,3.09,NO,1689251415
155,mount pleasant,32.7941,-79.8626,29.44,88,0,2.06,US,1689251307
